Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
John Wick: Chapter 2,2017,R,10-Feb-17,122 min,7.4/10,89%,75/100,75,7.4,471866,tt4425200,92029184,30436123,3113,Medium,2,243.603,303.363,37902626.74,tt4425200
Just Go with It,2011,PG-13,11-Feb-11,117 min,6.4/10,19%,33/100,33,6.4,252447,tt1564367,103028109,30514732,3548,Low,2,221.309,303.363,41828577.44,tt1564367
Dracula,1992,R,13-Nov-92,128 min,7.4/10,78%,57/100,57,7.4,224809,tt0103874,82522790,30521679,2491,Medium,11,142,303.363,65205268.36,tt0103874
The Pacifier,2005,PG,4-Mar-05,95 min,5.6/10,21%,30/100,30,5.6,96929,tt0395699,113086868,30552694,3131,Low,3,193.3,303.363,47949078.69,tt0395699
Saving Private Ryan,1998,R,24-Jul-98,169 min,8.6/10,94%,91/100,91,8.6,1418536,tt0120815,217049603,30576104,2463,High,7,163.2,303.363,56836143.61,tt0120815
Unbroken,2014,PG-13,25-Dec-14,137 min,7.2/10,52%,59/100,59,7.2,173148,tt1809398,115637895,30621445,3131,Medium,12,234.812,303.363,39561067.66,tt1809398
Knocked Up,2007,R,1-Jun-07,129 min,6.9/10,89%,85/100,85,6.9,375723,tt0478311,148768917,30690990,2871,High,6,208.352,303.363,44686447.93,tt0478311
Star Trek: First Contact,1996,PG-13,22-Nov-96,111 min,7.6/10,92%,71/100,71,7.6,128434,tt0117731,92027888,30716131,2812,Medium,11,158.6,303.363,58752444.19,tt0117731
Little Fockers,2010,PG-13,22-Dec-10,98 min,5.5/10,9%,27/100,27,5.5,115400,tt0970866,148438600,30833665,3536,Low,12,219.179,303.363,42676502.38,tt0970866
Step Brothers,2008,R,25-Jul-08,98 min,6.9/10,55%,51/100,51,6.9,303128,tt0838283,100468793,30940732,3094,Medium,7,219.964,303.363,42671861.22,tt0838283
