Title,Year,Rated,Released,Runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Domestic Open Gross,Num Theaters,Meta Score Cat,month,CPI @ release,CPI April 2023,New Domestic Open Gross,
Armageddon,1998,PG-13,1-Jul-98,151 min,6.7/10,38%,42/100,42,6.7,435218,tt0120591,201578182,36089972,3127,Low,7,163.2,303.363,67085552.55,tt0120591
Dumb and Dumber To,2014,PG-13,14-Nov-14,109 min,5.6/10,30%,36/100,36,5.6,140539,tt2096672,86208010,36111775,3154,Low,11,236.151,303.363,46389709.97,tt2096672
Oceans Thirteen,2007,PG-13,8-Jun-07,122 min,6.9/10,?,62/100,62,6.9,353972,tt0496806,117154724,36133403,3565,Medium,6,208.352,303.363,52610666.25,tt0496806
Jumanji: Welcome to the Jungle,2017,PG-13,20-Dec-17,119 min,6.9/10,76%,58/100,58,6.9,394798,tt2283362,404540171,36169328,3765,Medium,12,246.524,303.363,44508590.85,tt2283362
Kingsman: The Secret Service,2014,R,13-Feb-15,129 min,7.7/10,75%,60/100,60,7.7,683408,tt2802144,128261724,36206331,3204,Medium,2,234.781,303.363,46782581.18,tt2802144
21 Jump Street,2012,R,16-Mar-12,109 min,7.2/10,85%,69/100,69,7.2,572469,tt1232829,138447667,36302612,3121,Medium,3,229.392,303.363,48008950.98,tt1232829
Marley & Me,2008,PG,25-Dec-08,115 min,7.0/10,63%,53/100,53,7,161667,tt0822832,143153751,36357586,3480,Medium,12,210.228,303.363,52464687.68,tt0822832
Interview with the Vampire: The Vampire Chronicles,1994,R,11-Nov-94,123 min,7.5/10,64%,59/100,59,7.5,331341,tt0110148,105264608,36389705,2604,Medium,11,149.7,303.363,73742752.69,tt0110148
Freddy vs. Jason,2003,R,15-Aug-03,97 min,5.7/10,42%,37/100,37,5.7,122578,tt0329101,82633448,36400000,3014,Low,8,184.6,303.363,59818056.34,tt0329101
Cowboys & Aliens,2011,PG-13,29-Jul-11,119 min,6.0/10,45%,50/100,50,6,225186,tt0409847,100240551,36431290,3750,Low,7,225.922,303.363,48919120,tt0409847
Red Dragon,2002,R,4-Oct-02,124 min,7.2/10,69%,60/100,60,7.2,279685,tt0289765,93149898,36540945,3357,Medium,10,181.3,303.363,61142695.52,tt0289765
Maleficent: Mistress of Evil,2019,PG,18-Oct-19,119 min,6.6/10,39%,43/100,43,6.6,110111,tt4777008,113929605,36948713,3790,Low,10,257.346,303.363,43555650.45,tt4777008
Oblivion,2013,PG-13,19-Apr-13,124 min,7.0/10,54%,54/100,54,7,536394,tt1483013,89107235,37054485,3783,Medium,4,232.531,303.363,48341768.34,tt1483013
S.W.A.T.,2003,PG-13,8-Aug-03,117 min,6.0/10,48%,45/100,45,6,150589,tt0257076,116934650,37062535,3202,Low,8,184.6,303.363,60906835.35,tt0257076
Air Force One,1997,R,25-Jul-97,124 min,6.5/10,78%,61/100,61,6.5,202082,tt0118571,172956409,37132505,2919,Medium,7,160.5,303.363,70184598.84,tt0118571
Annabelle,2014,R,3-Oct-14,99 min,5.4/10,28%,37/100,37,5.4,165018,tt3322940,84284252,37134255,3185,Low,10,237.433,303.363,47445633.08,tt3322940
Mr. Deeds,2002,PG-13,28-Jun-02,96 min,5.8/10,22%,24/100,24,5.8,147702,tt0280590,126293452,37162787,3231,Low,6,179.9,303.363,62667118.14,tt0280590
Pacific Rim,2013,PG-13,12-Jul-13,131 min,6.9/10,72%,65/100,65,6.9,510455,tt1663662,101802906,37285325,3275,Medium,7,233.596,303.363,48421154.68,tt1663662
District 9,2009,R,14-Aug-09,112 min,7.9/10,90%,81/100,81,7.9,693246,tt1136608,115646235,37354308,3049,High,8,215.834,303.363,52502918.62,tt1136608
Gone Girl,2014,R,3-Oct-14,149 min,8.1/10,88%,79/100,79,8.1,1005367,tt2267998,167767189,37513109,3014,High,10,237.433,303.363,47929686.63,tt2267998
Hop,2011,PG,1-Apr-11,95 min,5.4/10,24%,41/100,41,5.4,35304,tt1411704,108498305,37543710,3579,Low,4,224.906,303.363,50640589.83,tt1411704
Charlies Angels: Full Throttle,2003,PG-13,27-Jun-03,106 min,4.9/10,41%,48/100,48,4.9,129922,tt0305357,100830111,37634221,3459,Low,6,183.7,303.363,62149320.55,tt0305357
Ace Ventura: When Nature Calls,1995,PG-13,10-Nov-95,90 min,6.4/10,21%,45/100,45,6.4,223972,tt0112281,108385533,37804076,2652,Low,11,153.6,303.363,74663788.46,tt0112281
Bee Movie,2007,PG,2-Nov-07,91 min,6.1/10,49%,54/100,54,6.1,169057,tt0389790,126631277,38021044,3928,Medium,11,210.177,303.363,54878402.35,tt0389790
Inglourious Basterds,2009,R,21-Aug-09,153 min,8.3/10,89%,69/100,69,8.3,1485476,tt0361748,120540719,38054676,3165,Medium,8,215.834,303.363,53487312.82,tt0361748
Rango,2011,PG,4-Mar-11,107 min,7.2/10,88%,75/100,75,7.2,277010,tt1192628,123477607,38079323,3917,Medium,3,223.467,303.363,51693796.68,tt1192628
Oceans Eleven,2001,PG-13,7-Dec-01,116 min,7.7/10,83%,74/100,74,7.7,589450,tt0240772,183417150,38107822,3075,Medium,12,176.7,303.363,65424466.36,tt0240772
The Bourne Legacy,2012,PG-13,10-Aug-12,135 min,6.6/10,55%,61/100,61,6.6,307652,tt1194173,113203870,38142825,3745,Medium,8,230.379,303.363,50226460.83,tt1194173
The Angry Birds Movie,2016,PG,20-May-16,97 min,6.3/10,43%,43/100,43,6.3,96904,tt1985949,107509366,38155177,3932,Low,5,240.229,303.363,48182646.39,tt1985949
The Cat in the Hat,2003,PG,21-Nov-03,82 min,4.0/10,10%,19/100,19,4,84796,tt0312528,101149285,38329160,3464,Low,11,184.5,303.363,63022487.62,tt0312528
Over the Hedge,2006,PG,19-May-06,83 min,6.7/10,75%,67/100,67,6.7,181723,tt0327084,155019340,38457003,4059,Medium,5,202.5,303.363,57612008.89,tt0327084
The Legend of Tarzan,2016,PG-13,1-Jul-16,110 min,6.2/10,35%,44/100,44,6.2,180922,tt0918940,126643061,38527856,3561,Low,7,240.628,303.363,48572593.3,tt0918940
You Dont Mess with the Zohan,2008,PG-13,6-Jun-08,113 min,5.6/10,37%,54/100,54,5.6,206920,tt0960144,100018837,38531374,3462,Medium,6,218.815,303.363,53419524.3,tt0960144
Fifty Shades Freed,2018,R,9-Feb-18,105 min,4.5/10,11%,31/100,31,4.5,68778,tt4477536,100407760,38560195,3768,Low,2,248.991,303.363,46980559.28,tt4477536
Get Smart,2008,PG-13,20-Jun-08,110 min,6.5/10,51%,54/100,54,6.5,222193,tt0425061,130319208,38683480,3911,Medium,6,218.815,303.363,53630402.59,tt0425061
Daddys Home,2015,PG-13,25-Dec-15,96 min,6.1/10,30%,42/100,42,6.1,123811,tt1528854,150357137,38740203,3271,Low,12,236.525,303.363,49687534.94,tt1528854
Dinosaur,2000,PG,19-May-00,82 min,6.4/10,65%,56/100,56,6.4,63353,tt0130623,137748063,38854851,3257,Medium,5,171.5,303.363,68729586.96,tt0130623
Kingsman: The Golden Circle,2017,R,22-Sep-17,141 min,6.7/10,50%,44/100,44,6.7,341719,tt4649466,100234838,39023010,4003,Low,9,246.819,303.363,47962828.56,tt4649466
The Heat,2013,R,28-Jun-13,117 min,6.6/10,66%,60/100,60,6.6,176174,tt2404463,159582188,39115043,3181,Medium,6,233.504,303.363,50817359.83,tt2404463
Magic Mike,2012,R,29-Jun-12,110 min,6.1/10,78%,72/100,72,6.1,143517,tt1915581,113781613,39127170,2930,Medium,6,229.478,303.363,51724939.53,tt1915581
The Grudge,2004,PG-13,22-Oct-04,91 min,5.9/10,40%,49/100,49,5.9,147468,tt0391198,110359362,39128715,3245,Low,10,190.9,303.363,62180221.94,tt0391198
Oceans Twelve,2004,PG-13,10-Dec-04,125 min,6.5/10,55%,58/100,58,6.5,399132,tt0349903,125544280,39153380,3290,Medium,12,190.3,303.363,62415590.21,tt0349903
The Good Dinosaur,2015,PG,25-Nov-15,93 min,6.7/10,75%,66/100,66,6.7,120217,tt1979388,123087120,39155217,3749,Medium,11,237.336,303.363,50048218.96,tt1979388
The Break-Up,2006,PG-13,2-Jun-06,106 min,5.8/10,34%,45/100,45,5.8,134965,tt0452594,118703275,39172785,3070,Low,6,202.9,303.363,58568622.85,tt0452594
Taken 3,2014,PG-13,9-Jan-15,108 min,6.0/10,13%,26/100,26,6,196700,tt2446042,89256424,39201657,3594,Low,1,233.916,303.363,50840183.11,tt2446042
Rio,2011,PG,15-Apr-11,96 min,6.9/10,72%,63/100,63,6.9,235935,tt1436562,143619809,39225962,3826,Medium,4,224.906,303.363,52909684.54,tt1436562
Rio 2,2014,G,11-Apr-14,101 min,6.3/10,48%,49/100,49,6.3,94106,tt2357291,131538435,39327869,3948,Low,4,237.072,303.363,50324881.57,tt2357291
The Waterboy,1998,PG-13,6-Nov-98,90 min,6.1/10,33%,41/100,41,6.1,169528,tt0120484,161491646,39414071,2664,Low,11,164,303.363,72907139.15,tt0120484
Sherlock Holmes: A Game of Shadows,2011,PG-13,16-Dec-11,129 min,7.4/10,59%,48/100,48,7.4,464950,tt1515091,186848418,39637079,3703,Low,12,225.672,303.363,53282743.08,tt1515091
Wild Hogs,2007,PG-13,2-Mar-07,100 min,5.8/10,14%,27/100,27,5.8,120541,tt0486946,168273550,39699023,3287,Low,3,205.352,303.363,58646688.2,tt0486946
50 First Dates,2004,PG-13,13-Feb-04,99 min,6.8/10,45%,48/100,48,6.8,365240,tt0343660,120908074,39852237,3591,Low,2,186.2,303.363,64928540.13,tt0343660
Split,2016,PG-13,20-Jan-17,117 min,7.3/10,78%,62/100,62,7.3,514698,tt4972582,138291365,40010975,3038,Medium,1,236.916,303.363,51232712.9,tt4972582
Click,2006,PG-13,23-Jun-06,107 min,6.4/10,34%,45/100,45,6.4,340418,tt0389860,137355633,40011365,3749,Low,6,202.9,303.363,59822413.61,tt0389860
Chicken Little,2005,G,6-Oct-05,81 min,5.7/10,36%,48/100,48,5.7,96087,tt0371606,135386665,40049778,3654,Low,10,199.2,303.363,60992072.31,tt0371606
The Fast and the Furious,2001,PG-13,22-Jun-01,106 min,6.8/10,54%,58/100,58,6.8,395426,tt0232500,144745925,40089015,2628,Medium,6,178,303.363,68323167.74,tt0232500
Charlies Angels,2000,PG-13,3-Nov-00,98 min,5.6/10,68%,52/100,52,5.6,190671,tt0160127,125305545,40128550,3037,Medium,11,174.1,303.363,69922557.8,tt0160127
Safe House,2012,R,10-Feb-12,115 min,6.7/10,53%,52/100,52,6.7,227356,tt1599348,126373434,40172720,3119,Medium,2,227.663,303.363,53530511.58,tt1599348
Scary Movie 4,2006,PG-13,14-Apr-06,83 min,5.1/10,34%,40/100,40,5.1,124635,tt0362120,90710620,40222875,3602,Low,4,201.5,303.363,60556486.49,tt0362120
Insidious: Chapter 2,2013,PG-13,13-Sep-13,106 min,6.5/10,38%,40/100,40,6.5,175397,tt2226417,83586447,40272103,3049,Low,9,234.149,303.363,52176460.21,tt2226417
Power Rangers,2017,PG-13,24-Mar-17,124 min,5.9/10,51%,44/100,44,5.9,110971,tt3717490,85364450,40300288,3693,Low,3,243.801,303.363,50145882.37,tt3717490
Daredevil,2003,PG-13,14-Feb-03,103 min,5.3/10,43%,42/100,42,5.3,223596,tt0287978,102543518,40310419,3471,Low,2,183.1,303.363,66786945.05,tt0287978
The Last Airbender,2010,PG,1-Jul-10,103 min,4.0/10,5%,20/100,20,4,166998,tt0938283,131772187,40325019,3169,Low,7,218.011,303.363,56112392.21,tt0938283
Glass,2019,PG-13,18-Jan-19,129 min,6.6/10,37%,43/100,43,6.6,252388,tt6823368,111048468,40328920,3841,Low,1,251.712,303.363,48604365.93,tt6823368
The Conjuring 2,2016,R,10-Jun-16,134 min,7.3/10,80%,65/100,65,7.3,280133,tt3065204,102516140,40406314,3343,Medium,6,241.018,303.363,50858361.76,tt3065204
The Mummy: Tomb of the Dragon Emperor,2008,PG-13,1-Aug-08,112 min,5.2/10,13%,31/100,31,5.2,165497,tt0859163,102491776,40457770,3760,Low,8,219.086,303.363,56020879.84,tt0859163
Batman,1989,PG-13,23-Jun-89,126 min,7.5/10,73%,69/100,69,7.5,385938,tt0096895,251409241,40489746,2194,Medium,6,124.1,303.363,98977363.54,tt0096895
G.I. Joe: Retaliation,2013,PG-13,28-Mar-13,110 min,5.7/10,28%,41/100,41,5.7,183735,tt1583421,122523060,40501814,3719,Low,3,232.773,303.363,52784265.36,tt1583421
Grown Ups,2010,PG-13,25-Jun-10,102 min,5.9/10,10%,30/100,30,5.9,259802,tt1375670,162001186,40506562,3534,Low,6,217.965,303.363,56376905.32,tt1375670
Paranormal Activity 2,2010,R,22-Oct-10,91 min,5.7/10,57%,53/100,53,5.7,106671,tt1536044,84752907,40678424,3216,Medium,10,218.711,303.363,56422990.8,tt1536044
Casino Royale,2006,PG-13,17-Nov-06,144 min,8.0/10,94%,80/100,80,8,669447,tt0381061,167445960,40833156,3434,High,11,201.5,303.363,61475278.93,tt0381061
Dune,2021,PG-13,22-Oct-21,155 min,8.0/10,83%,74/100,74,8,665392,tt1160419,108327830,41011174,4125,Medium,10,276.589,303.363,44981083.04,tt1160419
Madea Goes to Jail,2009,PG-13,20-Feb-09,103 min,4.5/10,29%,50/100,50,4.5,12471,tt1142800,90508336,41030947,2032,Low,2,212.193,303.363,58660140.41,tt1142800
Independence Day: Resurgence,2016,PG-13,24-Jun-16,120 min,5.2/10,29%,32/100,32,5.2,183146,tt1628841,103144286,41039944,4130,Low,6,241.018,303.363,51655895.13,tt1628841
Twister,1996,PG-13,10-May-96,113 min,6.4/10,63%,68/100,68,6.4,201813,tt0117998,241830615,41059405,2414,Medium,5,156.6,303.363,79539618.64,tt0117998
Shutter Island,2010,R,19-Feb-10,138 min,8.2/10,68%,63/100,63,8.2,1351808,tt1130884,128012934,41062440,2991,Medium,2,216.741,303.363,57473320.63,tt1130884
Once Upon a Time in Hollywood,2019,R,26-Jul-19,161 min,7.6/10,85%,83/100,83,7.6,773768,tt7131622,142502728,41082018,3659,High,7,256.571,303.363,48574329.24,tt7131622
Deep Impact,1998,PG-13,8-May-98,120 min,6.2/10,44%,40/100,40,6.2,182655,tt0120647,140464664,41152375,3156,Low,5,162.8,303.363,76683709.69,tt0120647
The Vow,2012,PG-13,10-Feb-12,104 min,6.8/10,31%,43/100,43,6.8,198177,tt1606389,125014030,41202458,2958,Low,2,227.663,303.363,54902646.75,tt1606389
Kung Fu Panda 3,2016,PG,29-Jan-16,95 min,7.1/10,86%,66/100,66,7.1,168625,tt2267968,143528619,41282042,3955,Medium,1,236.916,303.363,52860271.6,tt2267968
The Perfect Storm,2000,PG-13,30-Jun-00,130 min,6.5/10,?,59/100,59,6.5,171983,tt0177971,182618434,41325042,3407,Medium,6,172.4,303.363,72717451.95,tt0177971
Grown Ups 2,2013,PG-13,12-Jul-13,101 min,5.3/10,8%,19/100,19,5.3,160036,tt2191701,133668525,41508572,3491,Low,7,233.596,303.363,53905738.66,tt2191701
Ride Along,2014,PG-13,17-Jan-14,99 min,6.1/10,18%,41/100,41,6.1,117595,tt1408253,134938200,41516170,2663,Low,1,233.916,303.363,53841848.7,tt1408253
Happy Feet,2006,PG,17-Nov-06,108 min,6.4/10,76%,77/100,77,6.4,191314,tt0366548,198000317,41533432,3804,High,11,201.5,303.363,62529560.95,tt0366548
Big Daddy,1999,PG-13,25-Jun-99,93 min,6.4/10,39%,41/100,41,6.4,224256,tt0142342,163479795,41536370,3027,Low,6,166.2,303.363,75815871.31,tt0142342
Oceans Eight,2018,PG-13,8-Jun-18,110 min,6.3/10,69%,61/100,61,6.3,227788,tt5164214,140295726,41607378,4145,Medium,6,251.989,303.363,50090039.69,tt5164214
The Hangover Part III,2013,R,23-May-13,100 min,5.8/10,20%,30/100,30,5.8,321402,tt1951261,112200072,41671198,3555,Low,5,232.945,303.363,54268173.34,tt1951261
Ice Age: Dawn of the Dinosaurs,2009,PG,1-Jul-09,94 min,6.9/10,46%,50/100,50,6.9,252610,tt1080016,196573705,41690382,4099,Low,7,215.351,303.363,58728862.9,tt1080016
Ready Player One,2018,PG-13,29-Mar-18,140 min,7.4/10,72%,64/100,64,7.4,448973,tt1677720,137715350,41764050,4234,Medium,3,249.554,303.363,50769242.33,tt1677720
The Conjuring,2013,R,19-Jul-13,112 min,7.5/10,86%,68/100,68,7.5,522916,tt1457767,137446368,41855326,2903,Medium,7,233.596,303.363,54356056.02,tt1457767
High School Musical 3: Senior Year,2008,G,24-Oct-08,112 min,4.9/10,64%,57/100,57,4.9,64787,tt0962726,90559416,42030184,3623,Medium,10,216.573,303.363,58873463.95,tt0962726
Anger Management,2003,PG-13,11-Apr-03,106 min,6.2/10,42%,52/100,52,6.2,220371,tt0305224,135645823,42220847,3551,Medium,4,183.8,303.363,69685760.66,tt0305224
Scary Movie,2000,R,7-Jul-00,88 min,6.2/10,51%,48/100,48,6.2,269312,tt0175142,157019771,42346669,2912,Low,7,172.8,303.363,74342665.21,tt0175142
Shrek,2001,PG,18-May-01,90 min,7.9/10,88%,84/100,84,7.9,697228,tt0126029,268163011,42347760,3587,High,5,177.7,303.363,72294561.15,tt0126029
Nutty Professor II: The Klumps,2000,PG-13,28-Jul-00,106 min,4.4/10,27%,38/100,38,4.4,51955,tt0144528,123309890,42518830,3242,Low,7,172.8,303.363,74644906.4,tt0144528
Hotel Transylvania,2012,PG,28-Sep-12,91 min,7.0/10,44%,47/100,47,7,264688,tt0837562,148313048,42522194,3349,Low,9,231.407,303.363,55744469,tt0837562
Terminator Salvation,2009,PG-13,21-May-09,115 min,6.5/10,33%,49/100,49,6.5,368357,tt0438488,125322469,42558390,3530,Low,5,213.856,303.363,60370720.79,tt0438488
Batman & Robin,1997,PG-13,20-Jun-97,125 min,3.7/10,12%,28/100,28,3.7,258893,tt0118688,107353792,42872605,2934,Low,6,160.3,303.363,81135134.56,tt0118688
A Star Is Born,2018,R,5-Oct-18,136 min,7.6/10,90%,88/100,88,7.6,396259,tt1517451,215333122,42908051,3686,High,10,252.885,303.363,51472863.46,tt1517451
Hitch,2005,PG-13,11-Feb-05,118 min,6.6/10,?,58/100,58,6.6,323953,tt0386588,179495555,43142214,3575,Medium,2,191.8,303.363,68236451.85,tt0386588
The Mummy,1999,PG-13,7-May-99,124 min,7.1/10,60%,48/100,48,7.1,442169,tt0120616,155385488,43369635,3210,Low,5,166.2,303.363,79162109.4,tt0120616
American Gangster,2007,R,2-Nov-07,157 min,7.8/10,81%,76/100,76,7.8,435179,tt0765429,130164645,43565135,3054,High,11,210.177,303.363,62880572.32,tt0765429
The Croods,2013,PG,22-Mar-13,98 min,7.2/10,71%,55/100,55,7.2,221451,tt0481499,187168425,43639736,4046,Medium,3,232.773,303.363,56873783.61,tt0481499
Noah,2014,PG-13,28-Mar-14,138 min,5.8/10,75%,68/100,68,5.8,260194,tt1959490,101200044,43720472,3567,Medium,3,236.293,303.363,56130200.84,tt1959490
How to Train Your Dragon,2010,PG,26-Mar-10,98 min,8.1/10,99%,75/100,75,8.1,758533,tt0892769,217581231,43732319,4055,Medium,3,217.631,303.363,60959916.05,tt0892769
Lucy,2014,R,25-Jul-14,89 min,6.4/10,66%,61/100,61,6.4,507391,tt2872732,126663600,43899340,3173,Medium,7,238.25,303.363,55896896.04,tt2872732
Ghostbusters: Afterlife,2021,PG-13,19-Nov-21,124 min,7.1/10,63%,45/100,45,7.1,190630,tt4513678,129360575,44008406,4315,Low,11,277.948,303.363,48032445.17,tt4513678
TRON: Legacy,2010,PG,17-Dec-10,125 min,6.8/10,51%,49/100,49,6.8,344676,tt1104001,172062763,44026211,3451,Low,12,219.179,303.363,60936145.56,tt1104001
Terminator 3: Rise of the Machines,2003,R,2-Jul-03,109 min,6.3/10,69%,66/100,66,6.3,407000,tt0181852,150371112,44041440,3504,Medium,7,183.9,303.363,72651133.02,tt0181852
Godzilla,1998,PG-13,20-May-98,139 min,5.4/10,19%,32/100,32,5.4,196951,tt0120685,136314294,44047541,3310,Low,5,162.8,303.363,82078588.33,tt0120685
Hotel Transylvania 3: Summer Vacation,2018,PG,13-Jul-18,97 min,6.3/10,62%,54/100,54,6.3,78175,tt5220122,167510016,44076225,4267,Medium,7,252.006,303.363,53058640.84,tt5220122
The Peanuts Movie,2015,G,6-Nov-15,88 min,7.0/10,87%,67/100,67,7,47672,tt2452042,130178411,44213073,3897,Medium,11,237.336,303.363,56513173.16,tt2452042
Alvin and the Chipmunks,2007,PG,14-Dec-07,92 min,5.2/10,28%,39/100,39,5.2,89595,tt0952640,217326974,44307417,3475,Low,12,210.036,303.363,63994891.08,tt0952640
xXx,2002,PG-13,9-Aug-02,124 min,5.8/10,48%,48/100,48,5.8,182600,tt0295701,142109382,44506103,3374,Low,8,180.7,303.363,74717791.5,tt0295701
Transformers: The Last Knight,2017,PG-13,21-Jun-17,154 min,5.2/10,16%,27/100,27,5.2,157207,tt3371366,130168683,44680073,4069,Low,6,244.955,303.363,55333759.2,tt3371366
National Treasure: Book of Secrets,2007,PG,21-Dec-07,124 min,6.5/10,?,48/100,48,6.5,244677,tt0465234,219964115,44783772,3832,Low,12,210.036,303.363,64682908.76,tt0465234
The Hangover,2009,R,5-Jun-09,100 min,7.7/10,79%,73/100,73,7.7,804845,tt1119646,277339746,44979319,3269,Medium,6,215.693,303.363,63261492.72,tt1119646
Horton Hears a Who!,2008,G,14-Mar-08,86 min,6.8/10,80%,71/100,71,6.8,144818,tt0451079,154529439,45012998,3954,Medium,3,213.528,303.363,63950761.08,tt0451079
300: Rise of an Empire,2014,R,7-Mar-14,102 min,6.2/10,45%,48/100,48,6.2,307208,tt1253863,106580051,45038460,3470,Low,3,236.293,303.363,57822289.87,tt1253863
American Pie 2,2001,R,10-Aug-01,108 min,6.4/10,52%,43/100,43,6.4,261687,tt0252866,145103595,45117985,3063,Low,8,177.5,303.363,77110576.25,tt0252866
Ghost Rider,2007,PG-13,16-Feb-07,110 min,5.3/10,27%,35/100,35,5.3,243793,tt0259324,115802596,45388836,3619,Low,2,203.499,303.363,67662708.2,tt0259324
The Meg,2018,PG-13,10-Aug-18,113 min,5.6/10,46%,46/100,46,5.6,177411,tt4779682,145522784,45402195,4118,Low,8,252.146,303.363,54624487.72,tt4779682
Mad Max: Fury Road,2015,R,15-May-15,120 min,8.1/10,97%,90/100,90,8.1,1026101,tt1392190,154109060,45428128,3702,High,5,237.805,303.363,57951738.59,tt1392190
Mission: Impossible,1996,PG-13,22-May-96,110 min,7.1/10,66%,59/100,59,7.1,436673,tt0117060,180981856,45436830,3012,Medium,5,156.6,303.363,88019495.91,tt0117060
Batman Returns,1992,PG-13,19-Jun-92,126 min,7.1/10,81%,68/100,68,7.1,312752,tt0103776,162924631,45687711,2644,Medium,6,140.2,303.363,98858495.52,tt0103776
Dumbo,2019,PG,29-Mar-19,112 min,6.3/10,45%,51/100,51,6.3,78522,tt3861390,114766307,45990748,4259,Medium,3,254.202,303.363,54885057.1,tt3861390
Megamind,2010,PG,5-Nov-10,95 min,7.3/10,72%,63/100,63,7.3,272479,tt1001526,148415853,46016833,3944,Medium,11,218.803,303.363,63800791.17,tt1001526
Ghostbusters,2016,PG-13,15-Jul-16,117 min,6.8/10,73%,60/100,60,6.8,236280,tt1289401,128350574,46018755,3963,Medium,7,240.628,303.363,58016471.79,tt1289401
Meet the Fockers,2004,PG-13,22-Dec-04,115 min,6.3/10,38%,41/100,41,6.3,277048,tt0290002,279261160,46120980,3518,Low,12,190.3,303.363,73522852.63,tt0290002
Angels & Demons,2009,PG-13,15-May-09,138 min,6.7/10,37%,48/100,48,6.7,299692,tt0808151,133375846,46204168,3527,Low,5,213.856,303.363,65542397.77,tt0808151
Ice Age,2002,PG,15-Mar-02,81 min,7.5/10,77%,61/100,61,7.5,495145,tt0268380,176387405,46312454,3316,Medium,3,178.8,303.363,78576537.94,tt0268380
Bad Boys II,2003,R,18-Jul-03,147 min,6.6/10,23%,38/100,38,6.6,257652,tt0172156,138608444,46522560,3186,Low,7,183.9,303.363,76744009.62,tt0172156
Trolls,2016,PG,4-Nov-16,92 min,6.4/10,75%,55/100,55,6.4,85628,tt1679335,154025064,46581142,4060,Medium,11,241.353,303.363,58549075.34,tt1679335
Fifty Shades Darker,2017,R,10-Feb-17,118 min,4.6/10,11%,33/100,33,4.6,105996,tt4465564,114581250,46607250,3710,Low,2,243.603,303.363,58040808.95,tt4465564
Ice Age: Continental Drift,2012,PG,13-Jul-12,88 min,6.5/10,37%,49/100,49,6.5,214546,tt1667889,161321843,46629259,3881,Low,7,229.104,303.363,61743103.12,tt1667889
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,9-Jul-03,143 min,8.1/10,80%,63/100,63,8.1,1145800,tt0325980,305413918,46630690,3269,Medium,7,183.9,303.363,76922381.79,tt0325980
The Secret Life of Pets 2,2019,PG,7-Jun-19,86 min,6.4/10,60%,55/100,55,6.4,64938,tt5113040,158874395,46652680,4561,Medium,6,256.143,303.363,55253108.47,tt5113040
Troy,2004,R,14-May-04,163 min,7.3/10,53%,56/100,56,7.3,546784,tt0332452,133378256,46865412,3411,Medium,5,189.1,303.363,75183669.91,tt0332452
Jurassic Park,1993,PG-13,11-Jun-93,127 min,8.2/10,91%,68/100,68,8.2,1010691,tt0107290,404214720,47026828,2404,Medium,6,144.4,303.363,98796396.28,tt0107290
Ratatouille,2007,G,27-Jun-07,111 min,8.1/10,?,96/100,96,8.1,762233,tt0382932,206445654,47027395,3940,High,6,208.352,303.363,68472448.69,tt0382932
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,4-Aug-06,108 min,6.6/10,71%,66/100,66,6.6,189694,tt0415306,148213377,47042215,3803,Medium,8,203.9,303.363,69989541.29,tt0415306
Die Another Day,2002,PG-13,22-Nov-02,133 min,6.1/10,55%,56/100,56,6.1,223219,tt0246460,160942139,47072040,3314,Medium,11,181.3,303.363,78764011.42,tt0246460
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,19-Dec-01,178 min,8.8/10,91%,92/100,92,8.8,1909902,tt0120737,316115420,47211490,3359,High,12,176.7,303.363,81053872.33,tt0120737
Madagascar,2005,PG,27-May-05,86 min,6.9/10,55%,57/100,57,6.9,416137,tt0351283,193595521,47224594,4131,Medium,5,194.4,303.363,73694416.2,tt0351283
Interstellar,2014,PG-13,7-Nov-14,169 min,8.6/10,73%,74/100,74,8.6,1898118,tt0816692,188020017,47510360,3561,Medium,11,236.151,303.363,61032497.6,tt0816692
A Quiet Place Part II,2020,PG-13,28-May-21,97 min,7.2/10,91%,71/100,71,7.2,244449,tt8332922,160072261,47547231,3726,Medium,5,256.394,303.363,56257442.21,tt8332922
Shark Tale,2004,PG,1-Oct-04,90 min,6.0/10,35%,48/100,48,6,188485,tt0307453,160861908,47604606,4016,Low,10,190.9,303.363,75649429.49,tt0307453
The Longest Yard,2005,PG-13,27-May-05,113 min,6.4/10,?,48/100,48,6.4,185736,tt0398165,158119460,47606480,3634,Low,5,194.4,303.363,74290352.84,tt0398165
Kung Fu Panda 2,2011,PG,26-May-11,90 min,7.2/10,81%,67/100,67,7.2,296607,tt1302011,165249063,47656302,3925,Medium,5,225.964,303.363,63979920.45,tt1302011
Lara Croft: Tomb Raider,2001,PG-13,15-Jun-01,100 min,5.7/10,20%,33/100,33,5.7,213352,tt0146316,131168070,47735743,3308,Low,6,178,303.363,81355383.17,tt0146316
Mission: Impossible III,2006,PG-13,5-May-06,126 min,6.9/10,71%,66/100,66,6.9,365347,tt0317919,134029801,47743273,4054,Medium,5,202.5,303.363,71523666.8,tt0317919
Godzilla: King of the Monsters,2019,PG-13,31-May-19,132 min,6.0/10,42%,48/100,48,6,188596,tt3741700,110500138,47776293,4108,Low,5,256.092,303.363,56595128.21,tt3741700
